Facility Name,Facility ID,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
TX General Hospital #4,230105,TX,READM-30-COPD-HRRP,245,1.0336,17.5834,17.0118,43,07/01/2021,06/30/2024
TX General Hospital #4,230105,TX,READM-30-HIP-KNEE-HRRP,316,0.9819,3.4664,3.5303,11,07/01/2021,06/30/2024
TX General Hospital #5,230118,TX,READM-30-AMI-HRRP,257,1.0053,15.8763,15.7926,41,07/01/2021,06/30/2024
TX General Hospital #5,230118,TX,READM-30-HF-HRRP,410,1.0393,21.9672,21.1365,90,07/01/2021,06/30/2024
TX General Hospital #5,230118,TX,READM-30-PN-HRRP,487,1.0741,18.5274,17.2492,90,07/01/2021,06/30/2024
TX General Hospital #5,230118,TX,READM-30-COPD-HRRP,370,1.0072,16.3248,16.2081,60,07/01/2021,06/30/2024
TX General Hospital #5,230118,TX,READM-30-HIP-KNEE-HRRP,125,1.038,4.1412,3.9896,5,07/01/2021,06/30/2024
CA General Hospital #1,230131,CA,READM-30-AMI-HRRP,381,1.1216,16.7547,14.9382,64,07/01/2021,06/30/2024
CA General Hospital #1,230131,CA,READM-30-HF-HRRP,254,1.0044,22.7252,22.6256,58,07/01/2021,06/30/2024
CA General Hospital #1,230131,CA,READM-30-PN-HRRP,595,0.9549,16.1899,16.9546,96,07/01/2021,06/30/2024
CA General Hospital #1,230131,CA,READM-30-COPD-HRRP,353,0.9911,20.6077,20.7928,73,07/01/2021,06/30/2024
CA General Hospital #1,230131,CA,READM-30-HIP-KNEE-HRRP,225,0.9857,3.2018,3.2482,7,07/01/2021,06/30/2024
CA General Hospital #2,230144,CA,READM-30-AMI-HRRP,318,1.0797,16.0428,14.8586,51,07/01/2021,06/30/2024
CA General Hospital #2,230144,CA,READM-30-HF-HRRP,433,1.0407,20.4579,19.6578,89,07/01/2021,06/30/2024
CA General Hospital #2,230144,CA,READM-30-PN-HRRP,389,0.9934,16.0877,16.1946,63,07/01/2021,06/30/2024
CA General Hospital #2,230144,CA,READM-30-COPD-HRRP,249,1.0426,21.3533,20.4808,53,07/01/2021,06/30/2024
CA General Hospital #2,230144,CA,READM-30-HIP-KNEE-HRRP,106,Not Available,Not Available,4.6621,Not Available,07/01/2021,06/30/2024
CA General Hospital #3,230157,CA,READM-30-AMI-HRRP,260,Not Available,Not Available,13.4062,Not Available,07/01/2021,06/30/2024
CA General Hospital #3,230157,CA,READM-30-HF-HRRP,237,1.0412,22.5264,21.635,53,07/01/2021,06/30/2024
CA General Hospital #3,230157,CA,READM-30-PN-HRRP,575,1.0493,19.4961,18.5801,112,07/01/2021,06/30/2024
CA General Hospital #3,230157,CA,READM-30-COPD-HRRP,419,0.9526,15.4198,16.1871,65,07/01/2021,06/30/2024
CA General Hospital #3,230157,CA,READM-30-HIP-KNEE-HRRP,142,1.0764,5.9088,5.4894,8,07/01/2021,06/30/2024
CA General Hospital #4,230170,CA,READM-30-AMI-HRRP,344,1.0966,14.8981,13.5857,51,07/01/2021,06/30/2024
CA General Hospital #4,230170,CA,READM-30-HF-HRRP,280,1.0454,21.5094,20.5753,60,07/01/2021,06/30/2024
CA General Hospital #4,230170,CA,READM-30-PN-HRRP,581,1.0084,18.8371,18.6802,109,07/01/2021,06/30/2024
CA General Hospital #4,230170,CA,READM-30-COPD-HRRP,213,Not Available,Not Available,18.1755,Not Available,07/01/2021,06/30/2024
CA General Hospital #4,230170,CA,READM-30-HIP-KNEE-HRRP,149,0.9061,5.1421,5.675,8,07/01/2021,06/30/2024
CA General Hospital #5,230183,CA,READM-30-AMI-HRRP,181,1.0695,17.6117,16.4672,32,07/01/2021,06/30/2024
CA General Hospital #5,230183,CA,READM-30-HF-HRRP,525,1.0414,20.3902,19.5796,107,07/01/2021,06/30/2024
CA General Hospital #5,230183,CA,READM-30-PN-HRRP,208,0.9936,15.7667,15.8683,33,07/01/2021,06/30/2024
CA General Hospital #5,230183,CA,READM-30-COPD-HRRP,420,1.0172,20.0733,19.7339,84,07/01/2021,06/30/2024
CA General Hospital #5,230183,CA,READM-30-HIP-KNEE-HRRP,213,0.9088,3.3834,3.7229,7,07/01/2021,06/30/2024
NY General Hospital #1,230196,NY,READM-30-AMI-HRRP,241,1.0559,13.6172,12.8963,33,07/01/2021,06/30/2024
NY General Hospital #1,230196,NY,READM-30-HF-HRRP,354,0.9857,19.272,19.5516,68,07/01/2021,06/30/2024
NY General Hospital #1,230196,NY,READM-30-PN-HRRP,439,1.0357,19.5324,18.8591,86,07/01/2021,06/30/2024
NY General Hospital #1,230196,NY,READM-30-COPD-HRRP,324,0.9935,15.9652,16.0697,52,07/01/2021,06/30/2024
NY General Hospital #1,230196,NY,READM-30-HIP-KNEE-HRRP,250,1.0404,3.5327,3.3955,9,07/01/2021,06/30/2024
NY General Hospital #2,230209,NY,READM-30-AMI-HRRP,156,0.9811,14.257,14.5316,22,07/01/2021,06/30/2024
NY General Hospital #2,230209,NY,READM-30-HF-HRRP,493,0.9963,20.8282,20.9056,103,07/01/2021,06/30/2024
NY General Hospital #2,230209,NY,READM-30-PN-HRRP,366,0.9966,17.5172,17.577,64,07/01/2021,06/30/2024
NY General Hospital #2,230209,NY,READM-30-COPD-HRRP,219,0.9469,15.7709,16.6553,35,07/01/2021,06/30/2024
NY General Hospital #2,230209,NY,READM-30-HIP-KNEE-HRRP,230,0.9944,4.1692,4.1927,10,07/01/2021,06/30/2024
NY General Hospital #3,230222,NY,READM-30-AMI-HRRP,193,1.05,15.165,14.4429,29,07/01/2021,06/30/2024
NY General Hospital #3,230222,NY,READM-30-HF-HRRP,417,1.0835,21.0548,19.4322,88,07/01/2021,06/30/2024
NY General Hospital #3,230222,NY,READM-30-PN-HRRP,465,0.9822,13.8729,14.1243,65,07/01/2021,06/30/2024
NY General Hospital #3,230222,NY,READM-30-COPD-HRRP,358,1.0071,16.6469,16.5295,60,07/01/2021,06/30/2024
NY General Hospital #3,230222,NY,READM-30-HIP-KNEE-HRRP,266,0.9745,4.1487,4.2573,11,07/01/2021,06/30/2024
NY General Hospital #4,230235,NY,READM-30-AMI-HRRP,152,1.029,16.4864,16.0218,25,07/01/2021,06/30/2024
NY General Hospital #4,230235,NY,READM-30-HF-HRRP,623,0.9715,21.299,21.9238,133,07/01/2021,06/30/2024
NY General Hospital #4,230235,NY,READM-30-PN-HRRP,538,1.0582,19.2033,18.1471,103,07/01/2021,06/30/2024
NY General Hospital #4,230235,NY,READM-30-COPD-HRRP,156,Not Available,Not Available,17.1632,Not Available,07/01/2021,06/30/2024
NY General Hospital #4,230235,NY,READM-30-HIP-KNEE-HRRP,200,0.9169,5.1376,5.6032,10,07/01/2021,06/30/2024
NY General Hospital #5,230248,NY,READM-30-AMI-HRRP,335,1.0419,14.4521,13.8709,48,07/01/2021,06/30/2024
NY General Hospital #5,230248,NY,READM-30-HF-HRRP,605,1.0262,22.9227,22.3375,139,07/01/2021,06/30/2024
NY General Hospital #5,230248,NY,READM-30-PN-HRRP,370,0.9513,14.4971,15.2392,54,07/01/2021,06/30/2024
NY General Hospital #5,230248,NY,READM-30-COPD-HRRP,244,0.9561,19.2012,20.0828,47,07/01/2021,06/30/2024
NY General Hospital #5,230248,NY,READM-30-HIP-KNEE-HRRP,170,0.9114,4.3595,4.7833,7,07/01/2021,06/30/2024
FL General Hospital #1,230261,FL,READM-30-AMI-HRRP,275,1.0236,13.0196,12.7194,36,07/01/2021,06/30/2024
FL General Hospital #1,230261,FL,READM-30-HF-HRRP,254,1.0611,19.9781,18.8277,51,07/01/2021,06/30/2024
FL General Hospital #1,230261,FL,READM-30-PN-HRRP,262,1.0046,14.6446,14.5775,38,07/01/2021,06/30/2024
FL General Hospital #1,230261,FL,READM-30-COPD-HRRP,249,0.9905,16.1224,16.277,40,07/01/2021,06/30/2024
FL General Hospital #1,230261,FL,READM-30-HIP-KNEE-HRRP,158,0.9422,4.4975,4.7734,7,07/01/2021,06/30/2024
FL General Hospital #2,230274,FL,READM-30-AMI-HRRP,211,1.1036,15.4153,13.9682,33,07/01/2021,06/30/2024
FL General Hospital #2,230274,FL,READM-30-HF-HRRP,561,1.0321,23.0932,22.375,130,07/01/2021,06/30/2024
FL General Hospital #2,230274,FL,READM-30-PN-HRRP,327,0.9811,13.9487,14.2174,46,07/01/2021,06/30/2024
FL General Hospital #2,230274,FL,READM-30-COPD-HRRP,322,1.1126,19.1889,17.2469,62,07/01/2021,06/30/2024
FL General Hospital #2,230274,FL,READM-30-HIP-KNEE-HRRP,154,1.0487,4.4557,4.2488,7,07/01/2021,06/30/2024
FL General Hospital #3,230287,FL,READM-30-AMI-HRRP,248,1.0186,16.468,16.1673,41,07/01/2021,06/30/2024
FL General Hospital #3,230287,FL,READM-30-HF-HRRP,211,Not Available,Not Available,22.6242,Not Available,07/01/2021,06/30/2024
FL General Hospital #3,230287,FL,READM-30-PN-HRRP,475,1.0471,19.3853,18.5133,92,07/01/2021,06/30/2024
FL General Hospital #3,230287,FL,READM-30-COPD-HRRP,184,0.9556,19.1217,20.0101,35,07/01/2021,06/30/2024
FL General Hospital #3,230287,FL,READM-30-HIP-KNEE-HRRP,273,0.9726,5.1908,5.337,14,07/01/2021,06/30/2024
FL General Hospital #4,230300,FL,READM-30-AMI-HRRP,422,1.059,15.5464,14.6803,66,07/01/2021,06/30/2024
FL General Hospital #4,230300,FL,READM-30-HF-HRRP,334,1.0889,22.1199,20.314,74,07/01/2021,06/30/2024
FL General Hospital #4,230300,FL,READM-30-PN-HRRP,405,1.0005,17.2064,17.1978,70,07/01/2021,06/30/2024
FL General Hospital #4,230300,FL,READM-30-COPD-HRRP,237,0.9851,18.1154,18.3894,43,07/01/2021,06/30/2024
FL General Hospital #4,230300,FL,READM-30-HIP-KNEE-HRRP,179,0.9864,3.6474,3.6977,7,07/01/2021,06/30/2024
FL General Hospital #5,230313,FL,READM-30-AMI-HRRP,268,1.0977,14.9699,13.6375,40,07/01/2021,06/30/2024
FL General Hospital #5,230313,FL,READM-30-HF-HRRP,354,1.0275,22.018,21.4287,78,07/01/2021,06/30/2024
FL General Hospital #5,230313,FL,READM-30-PN-HRRP,294,1.062,19.7338,18.5817,58,07/01/2021,06/30/2024
FL General Hospital #5,230313,FL,READM-30-COPD-HRRP,253,1.0693,18.8644,17.6418,48,07/01/2021,06/30/2024
FL General Hospital #5,230313,FL,READM-30-HIP-KNEE-HRRP,238,1.0572,5.2414,4.9578,12,07/01/2021,06/30/2024
OH General Hospital #1,230326,OH,READM-30-AMI-HRRP,337,1.0962,16.0742,14.6636,54,07/01/2021,06/30/2024
OH General Hospital #1,230326,OH,READM-30-HF-HRRP,533,1.0021,21.72,21.6745,116,07/01/2021,06/30/2024
OH General Hospital #1,230326,OH,READM-30-PN-HRRP,453,0.9629,16.8257,17.474,76,07/01/2021,06/30/2024
OH General Hospital #1,230326,OH,READM-30-COPD-HRRP,326,1.0028,19.1253,19.0719,62,07/01/2021,06/30/2024
OH General Hospital #1,230326,OH,READM-30-HIP-KNEE-HRRP,358,Not Available,Not Available,5.1771,Not Available,07/01/2021,06/30/2024
OH General Hospital #2,230339,OH,READM-30-AMI-HRRP,353,1.0002,12.6895,12.687,45,07/01/2021,06/30/2024
OH General Hospital #2,230339,OH,READM-30-HF-HRRP,227,0.9831,21.6325,22.0044,49,07/01/2021,06/30/2024
OH General Hospital #2,230339,OH,READM-30-PN-HRRP,362,1.0355,18.6137,17.9756,67,07/01/2021,06/30/2024
OH General Hospital #2,230339,OH,READM-30-COPD-HRRP,357,0.9595,16.5676,17.2669,59,07/01/2021,06/30/2024
OH General Hospital #2,230339,OH,READM-30-HIP-KNEE-HRRP,316,Not Available,Not Available,4.8485,Not Available,07/01/2021,06/30/2024
OH General Hospital #3,230352,OH,READM-30-AMI-HRRP,356,1.037,15.3733,14.8248,55,07/01/2021,06/30/2024
OH General Hospital #3,230352,OH,READM-30-HF-HRRP,192,0.9383,19.3414,20.6132,37,07/01/2021,06/30/2024
OH General Hospital #3,230352,OH,READM-30-PN-HRRP,428,1.0129,18.2284,17.9962,78,07/01/2021,06/30/2024
OH General Hospital #3,230352,OH,READM-30-COPD-HRRP,331,0.9175,18.9521,20.6562,63,07/01/2021,06/30/2024
OH General Hospital #3,230352,OH,READM-30-HIP-KNEE-HRRP,247,0.9995,3.3496,3.3513,8,07/01/2021,06/30/2024
OH General Hospital #4,230365,OH,READM-30-AMI-HRRP,402,1.0778,15.1894,14.093,61,07/01/2021,06/30/2024
OH General Hospital #4,230365,OH,READM-30-HF-HRRP,228,1.0072,21.51,21.3562,49,07/01/2021,06/30/2024
OH General Hospital #4,230365,OH,READM-30-PN-HRRP,492,1.0193,18.1565,17.8127,89,07/01/2021,06/30/2024
OH General Hospital #4,230365,OH,READM-30-COPD-HRRP,266,1.0108,18.0135,17.821,48,07/01/2021,06/30/2024
OH General Hospital #4,230365,OH,READM-30-HIP-KNEE-HRRP,259,0.9624,3.3139,3.4434,9,07/01/2021,06/30/2024
OH General Hospital #5,230378,OH,READM-30-AMI-HRRP,260,1.1031,15.6524,14.1895,41,07/01/2021,06/30/2024
OH General Hospital #5,230378,OH,READM-30-HF-HRRP,520,1.0893,22.6193,20.765,118,07/01/2021,06/30/2024
OH General Hospital #5,230378,OH,READM-30-PN-HRRP,353,0.9771,17.4916,17.9015,62,07/01/2021,06/30/2024
OH General Hospital #5,230378,OH,READM-30-COPD-HRRP,364,1.0005,20.9437,20.9332,76,07/01/2021,06/30/2024
OH General Hospital #5,230378,OH,READM-30-HIP-KNEE-HRRP,243,1.0128,5.9285,5.8536,14,07/01/2021,06/30/2024
PA General Hospital #1,230391,PA,READM-30-AMI-HRRP,298,1.0549,13.3019,12.6096,40,07/01/2021,06/30/2024
PA General Hospital #1,230391,PA,READM-30-HF-HRRP,242,Not Available,Not Available,21.4305,Not Available,07/01/2021,06/30/2024
PA General Hospital #1,230391,PA,READM-30-PN-HRRP,417,1.0624,19.2581,18.127,80,07/01/2021,06/30/2024
PA General Hospital #1,230391,PA,READM-30-COPD-HRRP,154,0.9499,17.3762,18.2927,27,07/01/2021,06/30/2024
PA General Hospital #1,230391,PA,READM-30-HIP-KNEE-HRRP,194,0.992,5.7093,5.7553,11,07/01/2021,06/30/2024
PA General Hospital #2,230404,PA,READM-30-AMI-HRRP,304,1.0742,13.4843,12.5529,41,07/01/2021,06/30/2024
PA General Hospital #2,230404,PA,READM-30-HF-HRRP,364,1.0322,20.0448,19.4195,73,07/01/2021,06/30/2024
PA General Hospital #2,230404,PA,READM-30-PN-HRRP,598,1.0284,14.9448,14.5321,89,07/01/2021,06/30/2024
PA General Hospital #2,230404,PA,READM-30-COPD-HRRP,383,0.9735,18.7405,19.2506,72,07/01/2021,06/30/2024
PA General Hospital #2,230404,PA,READM-30-HIP-KNEE-HRRP,399,1.008,5.7366,5.6911,23,07/01/2021,06/30/2024
PA General Hospital #3,230417,PA,READM-30-AMI-HRRP,452,1.0349,13.1589,12.7151,59,07/01/2021,06/30/2024
PA General Hospital #3,230417,PA,READM-30-HF-HRRP,202,1.0379,19.7108,18.991,40,07/01/2021,06/30/2024
PA General Hospital #3,230417,PA,READM-30-PN-HRRP,205,1.0308,14.6176,14.1808,30,07/01/2021,06/30/2024
PA General Hospital #3,230417,PA,READM-30-COPD-HRRP,468,0.9953,16.1819,16.2583,76,07/01/2021,06/30/2024
PA General Hospital #3,230417,PA,READM-30-HIP-KNEE-HRRP,345,0.9052,3.3635,3.7157,12,07/01/2021,06/30/2024
PA General Hospital #4,230430,PA,READM-30-AMI-HRRP,362,0.9698,11.9152,12.2862,43,07/01/2021,06/30/2024
PA General Hospital #4,230430,PA,READM-30-HF-HRRP,490,1.0186,22.2671,21.8605,109,07/01/2021,06/30/2024
PA General Hospital #4,230430,PA,READM-30-PN-HRRP,520,1.0536,19.1649,18.1899,100,07/01/2021,06/30/2024
PA General Hospital #4,230430,PA,READM-30-COPD-HRRP,306,0.9692,16.1126,16.6246,49,07/01/2021,06/30/2024
PA General Hospital #4,230430,PA,READM-30-HIP-KNEE-HRRP,112,0.9651,5.0529,5.2356,6,07/01/2021,06/30/2024
PA General Hospital #5,230443,PA,READM-30-AMI-HRRP,341,Not Available,Not Available,12.7761,Not Available,07/01/2021,06/30/2024
PA General Hospital #5,230443,PA,READM-30-HF-HRRP,472,0.9708,18.4114,18.9652,87,07/01/2021,06/30/2024
PA General Hospital #5,230443,PA,READM-30-PN-HRRP,206,1.0421,19.6967,18.901,41,07/01/2021,06/30/2024
PA General Hospital #5,230443,PA,READM-30-COPD-HRRP,244,0.9447,15.3726,16.2725,38,07/01/2021,06/30/2024
PA General Hospital #5,230443,PA,READM-30-HIP-KNEE-HRRP,121,0.9937,5.6168,5.6524,7,07/01/2021,06/30/2024
IL General Hospital #1,230456,IL,READM-30-AMI-HRRP,365,0.9899,12.7357,12.8656,46,07/01/2021,06/30/2024
IL General Hospital #1,230456,IL,READM-30-HF-HRRP,356,1.0086,23.097,22.9001,82,07/01/2021,06/30/2024
IL General Hospital #1,230456,IL,READM-30-PN-HRRP,236,0.9838,17.6301,17.9204,42,07/01/2021,06/30/2024
IL General Hospital #1,230456,IL,READM-30-COPD-HRRP,239,1.0131,16.9448,16.7257,40,07/01/2021,06/30/2024
IL General Hospital #1,230456,IL,READM-30-HIP-KNEE-HRRP,290,1.036,4.0445,3.904,12,07/01/2021,06/30/2024
IL General Hospital #2,230469,IL,READM-30-AMI-HRRP,296,1.1058,16.8592,15.2462,50,07/01/2021,06/30/2024
IL General Hospital #2,230469,IL,READM-30-HF-HRRP,449,1.0746,20.1404,18.7422,90,07/01/2021,06/30/2024
IL General Hospital #2,230469,IL,READM-30-PN-HRRP,384,1.024,16.7637,16.3708,64,07/01/2021,06/30/2024
IL General Hospital #2,230469,IL,READM-30-COPD-HRRP,327,1.0831,18.0558,16.6705,59,07/01/2021,06/30/2024
IL General Hospital #2,230469,IL,READM-30-HIP-KNEE-HRRP,384,1.0238,4.3857,4.2837,17,07/01/2021,06/30/2024
IL General Hospital #3,230482,IL,READM-30-AMI-HRRP,247,1.0764,16.3323,15.1731,40,07/01/2021,06/30/2024
IL General Hospital #3,230482,IL,READM-30-HF-HRRP,626,0.9967,19.0251,19.0881,119,07/01/2021,06/30/2024
IL General Hospital #3,230482,IL,READM-30-PN-HRRP,364,0.9271,14.449,15.5852,53,07/01/2021,06/30/2024
IL General Hospital #3,230482,IL,READM-30-COPD-HRRP,472,0.9883,18.1558,18.3707,86,07/01/2021,06/30/2024
IL General Hospital #3,230482,IL,READM-30-HIP-KNEE-HRRP,110,1.0253,4.8368,4.7174,5,07/01/2021,06/30/2024
IL General Hospital #4,230495,IL,READM-30-AMI-HRRP,272,1.0468,15.9529,15.2397,43,07/01/2021,06/30/2024
IL General Hospital #4,230495,IL,READM-30-HF-HRRP,443,1.0374,20.3134,19.5811,90,07/01/2021,06/30/2024
IL General Hospital #4,230495,IL,READM-30-PN-HRRP,298,1.0526,17.007,16.1571,51,07/01/2021,06/30/2024
IL General Hospital #4,230495,IL,READM-30-COPD-HRRP,425,1.0003,17.8086,17.8033,76,07/01/2021,06/30/2024
IL General Hospital #4,230495,IL,READM-30-HIP-KNEE-HRRP,388,1.0417,5.8952,5.6592,23,07/01/2021,06/30/2024
IL General Hospital #5,230508,IL,READM-30-AMI-HRRP,329,1.0863,15.7711,14.5182,52,07/01/2021,06/30/2024
IL General Hospital #5,230508,IL,READM-30-HF-HRRP,519,0.9988,19.5488,19.5723,101,07/01/2021,06/30/2024
IL General Hospital #5,230508,IL,READM-30-PN-HRRP,408,0.9759,16.0738,16.4707,66,07/01/2021,06/30/2024
IL General Hospital #5,230508,IL,READM-30-COPD-HRRP,164,1.0266,20.7476,20.21,34,07/01/2021,06/30/2024
IL General Hospital #5,230508,IL,READM-30-HIP-KNEE-HRRP,134,0.9883,3.7969,3.8418,5,07/01/2021,06/30/2024
GA General Hospital #1,230521,GA,READM-30-AMI-HRRP,347,1.0508,14.2588,13.5695,49,07/01/2021,06/30/2024
GA General Hospital #1,230521,GA,READM-30-HF-HRRP,339,0.9567,17.2908,18.0734,59,07/01/2021,06/30/2024
GA General Hospital #1,230521,GA,READM-30-PN-HRRP,374,0.9502,15.0714,15.8613,56,07/01/2021,06/30/2024
GA General Hospital #1,230521,GA,READM-30-COPD-HRRP,439,1.0358,19.6846,19.0042,86,07/01/2021,06/30/2024
GA General Hospital #1,230521,GA,READM-30-HIP-KNEE-HRRP,300,0.9428,5.644,5.9864,17,07/01/2021,06/30/2024
GA General Hospital #2,230534,GA,READM-30-AMI-HRRP,191,1.0805,14.646,13.5548,28,07/01/2021,06/30/2024
GA General Hospital #2,230534,GA,READM-30-HF-HRRP,535,0.9676,19.2932,19.9392,103,07/01/2021,06/30/2024
GA General Hospital #2,230534,GA,READM-30-PN-HRRP,475,1.014,14.2504,14.0536,68,07/01/2021,06/30/2024
GA General Hospital #2,230534,GA,READM-30-COPD-HRRP,386,1.0138,17.0509,16.8188,66,07/01/2021,06/30/2024
GA General Hospital #2,230534,GA,READM-30-HIP-KNEE-HRRP,162,Not Available,Not Available,5.5089,Not Available,07/01/2021,06/30/2024
GA General Hospital #3,230547,GA,READM-30-AMI-HRRP,472,1.0243,16.5888,16.1953,78,07/01/2021,06/30/2024
GA General Hospital #3,230547,GA,READM-30-HF-HRRP,634,1.0834,20.2682,18.708,129,07/01/2021,06/30/2024
GA General Hospital #3,230547,GA,READM-30-PN-HRRP,401,0.9923,14.2893,14.4002,57,07/01/2021,06/30/2024
GA General Hospital #3,230547,GA,READM-30-COPD-HRRP,306,1.0053,18.2652,18.1689,56,07/01/2021,06/30/2024
GA General Hospital #3,230547,GA,READM-30-HIP-KNEE-HRRP,243,0.9519,3.3724,3.5428,8,07/01/2021,06/30/2024
GA General Hospital #4,230560,GA,READM-30-AMI-HRRP,314,1.0452,12.7757,12.2232,40,07/01/2021,06/30/2024
GA General Hospital #4,230560,GA,READM-30-HF-HRRP,473,Not Available,Not Available,20.451,Not Available,07/01/2021,06/30/2024
